model,method,n,seed,acc,ece,brier
gemma4,GPP-rbf,500,3,0.4398766700924974,0.0897234110707247,0.6370818818678703
gemma4,GPP-laplace,500,3,0.4779033915724563,0.06668730136791948,0.6176600594538095
gemma4,LPE,500,3,0.4676258992805755,0.16868849887387236,0.680786428677437
gemma4,LP-temp,500,3,0.4696813977389517,0.051113512505469895,0.6296402492522177
gemma4,GPP-cosine,1500,3,0.4624871531346352,0.29872413299679146,0.7598862386012024
gemma4,GPP-rbf,1500,3,0.48715313463514903,0.09450324401948582,0.6214743326078978
gemma4,GPP-laplace,1500,3,0.5190133607399794,0.05624416271437109,0.5914665770922896
gemma4,LPE,1500,3,0.4840698869475848,0.10758669559536589,0.6278406595929906
gemma4,LP-temp,1500,3,0.48201438848920863,0.04702446723481232,0.6095275840009218
gemma4,GPP-cosine,2400,3,0.5097636176772867,0.2155669453761561,0.6803782933453567
gemma4,GPP-rbf,2400,3,0.5231243576567317,0.06934127533178536,0.5903003906292064
gemma4,GPP-laplace,2400,3,0.5724563206577595,0.07845828154594288,0.5581818562484695
gemma4,LPE,2400,3,0.5056526207605344,0.07157451413640753,0.5992046371377551
gemma4,LP-temp,2400,3,0.5097636176772867,0.05704978490429006,0.5914850135992771
gemma4,GPP-cosine,100,4,0.44912641315519014,0.384137028198448,0.9215587086179722
gemma4,GPP-rbf,100,4,0.42548818088386436,0.04581299399667997,0.6448077402105628
gemma4,GPP-laplace,100,4,0.4511819116135663,0.03558541940025532,0.6386257734048655
gemma4,LPE,100,4,0.42137718396711205,0.2270328660724342,0.7343510002314996
gemma4,LP-temp,100,4,0.4141829393627955,0.021725807413502014,0.6496484137170184
gemma4,GPP-cosine,500,4,0.4789311408016444,0.3259796834371808,0.8143037251587109
gemma4,GPP-rbf,500,4,0.4696813977389517,0.07453984392755203,0.6270754920136737
gemma4,GPP-laplace,500,4,0.4850976361767729,0.05076667154925698,0.6117205601716154
gemma4,LPE,500,4,0.5210688591983555,0.13334701494347279,0.6458649877922501
