dataset,model,layer,heldout,seed,method,auroc,id_acc
goemotions,llama,0,7,0,LPE -var,0.5177520094199559,0.22149695387293297
goemotions,llama,0,7,1,GPP neg-latent-var,0.4863265584736941,0.22845953002610966
goemotions,llama,0,7,1,GPP -MI,0.48181282957047045,0.22845953002610966
goemotions,llama,0,7,1,Maha,0.5186820594208092,0.22845953002610966
goemotions,llama,0,7,1,MSP,0.42263519855287635,0.22845953002610966
goemotions,llama,0,7,1,kNN,0.497632212153791,0.22845953002610966
goemotions,llama,0,7,1,LPE -var,0.44108261233126844,0.22845953002610966
goemotions,llama,0,7,2,GPP neg-latent-var,0.4819152203962525,0.22149695387293297
goemotions,llama,0,7,2,GPP -MI,0.4820218775064421,0.22149695387293297
goemotions,llama,0,7,2,Maha,0.5107553029915187,0.22149695387293297
goemotions,llama,0,7,2,MSP,0.5185839348794348,0.22149695387293297
goemotions,llama,0,7,2,kNN,0.5033746309663988,0.22149695387293297
goemotions,llama,0,7,2,LPE -var,0.4375202648509361,0.22149695387293297
goemotions,llama,16,27,0,GPP neg-latent-var,0.48232703770678453,0.16139240506329114
goemotions,llama,16,27,0,GPP -MI,0.4815620604781997,0.16139240506329114
goemotions,llama,16,27,0,Maha,0.5173736688768334,0.16139240506329114
goemotions,llama,16,27,0,MSP,0.516560553546313,0.16139240506329114
goemotions,llama,16,27,0,kNN,0.4971933393610609,0.16139240506329114
goemotions,llama,16,27,0,LPE -var,0.5250443707722189,0.16139240506329114
goemotions,llama,16,27,1,GPP neg-latent-var,0.480010129931016,0.15664556962025317
goemotions,llama,16,27,1,GPP -MI,0.4816258957872882,0.15664556962025317
goemotions,llama,16,27,1,Maha,0.5138826100060278,0.15664556962025317
goemotions,llama,16,27,1,MSP,0.5159305722992431,0.15664556962025317
goemotions,llama,16,27,1,kNN,0.4993135088071797,0.15664556962025317
goemotions,llama,16,27,1,LPE -var,0.5418126506931886,0.15664556962025317
goemotions,llama,16,27,2,GPP neg-latent-var,0.4803533755274262,0.1540084388185654
goemotions,llama,16,27,2,GPP -MI,0.4796344434398232,0.1540084388185654
goemotions,llama,16,27,2,Maha,0.5169037991427232,0.1540084388185654
goemotions,llama,16,27,2,MSP,0.5154575631237024,0.1540084388185654
goemotions,llama,16,27,2,kNN,0.49221732469359053,0.1540084388185654
goemotions,llama,16,27,2,LPE -var,0.5062129545911191,0.1540084388185654
goemotions,llama,16,3,0,GPP neg-latent-var,0.5231381972164897,0.205799812909261
goemotions,llama,16,3,0,GPP -MI,0.5246574168624454,0.205799812909261
goemotions,llama,16,3,0,Maha,0.4898046258542263,0.205799812909261
goemotions,llama,16,3,0,MSP,0.5126357657509694,0.205799812909261
goemotions,llama,16,3,0,kNN,0.48682866915644923,0.205799812909261
