dataset,model,variant,K,method,best_layer,soft_ce,tvd,acc,corrAlea_entropy,corrMI_entropy,corrAleaS_entropy,mono_alea
chaosnli_snli,gemma,mean256,3,LP-temp,25,0.9111117008251626,0.33476858006781973,0.6210989010989011,0.08688939645512249,,0.11212496200847002,0.6399999999999999
chaosnli_snli,gemma,mean256,3,LPE,37,1.0976068754639274,0.30541184653344006,0.6378021978021977,0.08002347526397949,0.12283230839666692,0.08792478055164292,0.7599999999999999
chaosnli_snli,llama,mean256,3,GPP-cosine,32,1.0137450127231395,0.3193004674263416,0.6114285714285714,0.08940511492092418,0.02572182440788854,0.09746411168226751,0.6000000000000001
chaosnli_snli,llama,mean256,3,GPP-laplace,32,1.0211530056776108,0.3690311143882982,0.5261538461538462,0.06679263381034159,0.05308803757136469,0.04097867662099526,1.0
chaosnli_snli,llama,mean256,3,GPP-rbf,32,0.9723988995209103,0.3114536382495374,0.6202197802197802,0.09076293329062443,0.100394176883951,0.09888905614142372,0.6000000000000001
chaosnli_snli,llama,mean256,3,LP-temp,32,0.8925591715214065,0.32206452402270036,0.6518681318681319,0.10278190041403797,,0.1074503033569186,0.72
chaosnli_snli,llama,mean256,3,LPE,32,1.0875460268724129,0.29481089994021803,0.6575824175824175,0.13152704477491386,0.16924051084848163,0.140205731592582,0.64
chaosnli_snli,qwen,mean256,3,GPP-cosine,38,0.9616651281295573,0.2974909036285517,0.6646153846153846,0.11117511208239805,0.04581373567832564,0.11111593316628361,0.6000000000000001
chaosnli_snli,qwen,mean256,3,GPP-laplace,29,1.0095789811860167,0.3699156256969814,0.534945054945055,0.043634679092287666,0.03742606571406083,0.03933207243061869,0.48
chaosnli_snli,qwen,mean256,3,GPP-rbf,29,0.9318685947746772,0.2939537441914205,0.665054945054945,0.09329281602851204,0.10847277801058257,0.09228834650093115,0.6799999999999999
chaosnli_snli,qwen,mean256,3,LP-temp,29,0.8907268588789569,0.3186158382415717,0.6632967032967033,0.09192367949072731,,0.11795941206572728,0.7999999999999999
chaosnli_snli,qwen,mean256,3,LPE,29,1.0728392484564953,0.2941702201108393,0.6654945054945054,0.11615935148436525,0.1346597042252767,0.12691927427614877,0.6799999999999999
goemotions,gemma,mean256,28,GPP-cosine,0,3.104105168416604,0.6742235999170818,0.2625,0.10646967824984432,0.08569298272758234,0.08936529598724255,1.0
goemotions,gemma,mean256,28,GPP-laplace,50,3.046655123251842,0.7933977295882262,0.21104166666666668,0.14353906013742307,0.13083478867368753,0.09286522981248818,1.0
goemotions,gemma,mean256,28,GPP-rbf,37,2.857886865343125,0.6902756085422395,0.27625,0.18354966640750944,0.11806714640411568,0.15548169257189703,1.0
