K,rep,n_obs,method,acc,brier,ece,mi
4,1,512,LPE,0.7,0.3962627540054003,0.04042799763381484,0.03402705490589142
4,1,512,LP,0.6855,0.40635886627408174,0.028512841890102905,
4,1,512,SVM,0.792,0.30742549415791326,0.04581820224141126,
4,2,32,GPP-cosine,0.4775,0.7221224859694974,0.17872070011496544,0.062490180134773254
4,2,32,GPP-rbf,0.5195,0.5756872731356721,0.12863837906718256,0.27945905923843384
4,2,32,LPE,0.4725,0.6824226638091678,0.11651898111402989,0.23785027861595154
4,2,32,LP,0.4565,0.7452142622861789,0.22915195065092658,
4,2,32,SVM,0.516,0.6549874895372179,0.09985444426451193,
4,2,128,GPP-cosine,0.535,0.5753603397810414,0.10781468455493451,0.020123211666941643
4,2,128,GPP-rbf,0.8515,0.2240016551610202,0.0674119397550821,0.11484519392251968
4,2,128,LPE,0.6135,0.494175894328039,0.04202759933471679,0.12113022059202194
4,2,128,LP,0.6195,0.5004158809613493,0.053420029694789,
4,2,128,SVM,0.693,0.4487619525349414,0.12598519438751477,
4,2,512,GPP-cosine,0.6115,0.4921201656304195,0.053167887806892404,0.005226827692240477
4,2,512,GPP-rbf,0.9895,0.029340097411382347,0.06939932650327682,0.0223231241106987
4,2,512,LPE,0.7595,0.37251148902006914,0.0890762132406235,0.03340253233909607
4,2,512,LP,0.748,0.3765799755610847,0.07775379010796522,
4,2,512,SVM,0.8335,0.2874305721315366,0.10933692007021437,
4,3,32,GPP-cosine,0.541,0.6202882846794695,0.08790029458701608,0.07121812552213669
4,3,32,GPP-rbf,0.55,0.5786560857499253,0.11383687576651574,0.2850372791290283
4,3,32,LPE,0.546,0.6194274454662186,0.10267103140056132,0.24292020499706268
4,3,32,LP,0.5645,0.6318680376621958,0.10463044533456348,
4,3,32,SVM,0.458,0.6630514202048159,0.06020791337721909,
4,3,128,GPP-cosine,0.5665,0.542787276735339,0.06883389662206171,0.019857369363307953
4,3,128,GPP-rbf,0.865,0.20618528042631523,0.09559628716111186,0.11664558202028275
4,3,128,LPE,0.6755,0.465315247206972,0.08045138345658777,0.11450103670358658
4,3,128,LP,0.6715,0.46980691717395845,0.07405139678534356,
4,3,128,SVM,0.7255,0.45812851525364795,0.1620824089656226,
4,3,512,GPP-cosine,0.67,0.4906795165496577,0.1303751975297928,0.004701123107224703
4,3,512,GPP-rbf,0.998,0.01749722586102957,0.07065146869421006,0.01767387054860592
4,3,512,LPE,0.754,0.36197735447596324,0.07672759850323202,0.0320897102355957
4,3,512,LP,0.753,0.36296481866907515,0.06598636734106726,
4,3,512,SVM,0.8475,0.2683475315046312,0.1009491550306244,
4,4,32,GPP-cosine,0.5005,0.7005920287313563,0.13228809481859205,0.0772513747215271
4,4,32,GPP-rbf,0.5365,0.5622012709179912,0.10906017744541167,0.2963525354862213
4,4,32,LPE,0.5685,0.648272672914505,0.12624022984504701,0.2985841631889343
4,4,32,LP,0.561,0.6584546695557647,0.12103444781220948,
4,4,32,SVM,0.306,0.8087991663109162,0.1319431591492215,
4,4,128,GPP-cosine,0.6165,0.5563668414264898,0.10526513063907622,0.01830839179456234
4,4,128,GPP-rbf,0.909,0.17835393851712086,0.1141942433863878,0.11097003519535065
4,4,128,LPE,0.675,0.464644452800817,0.05275044374167919,0.10606155544519424
4,4,128,LP,0.691,0.4609803840271678,0.0654124435869309,
4,4,128,SVM,0.7735,0.37591064004833313,0.11964109174164554,
4,4,512,GPP-cosine,0.6515,0.4886251439719805,0.10627200584113598,0.004977263975888491
4,4,512,GPP-rbf,0.997,0.018092284858807213,0.06985579231381417,0.01909121870994568
4,4,512,LPE,0.7545,0.36750520104845696,0.08071292641758919,0.03508371114730835
4,4,512,LP,0.7555,0.3685375957483686,0.07432570675341475,
4,4,512,SVM,0.825,0.28269259624419496,0.0799185047062309,
8,0,32,GPP-cosine,0.4,0.7649644719209068,0.12387222564965485,0.09914153814315796
8,0,32,GPP-rbf,0.4705,0.6682098492682996,0.09968523186445238,0.40643468499183655
8,0,32,LPE,0.4345,0.7294269021289114,0.09198043455183506,0.3325504660606384
8,0,32,LP,0.4335,0.7347112428643784,0.10492432933776066,
8,0,32,SVM,0.278,0.8178763423044074,0.10854297501811733,
8,0,128,GPP-cosine,0.58,0.5777289137861294,0.10955610021203754,0.03430034592747688
8,0,128,GPP-rbf,0.7905,0.3067286637162083,0.11562579937279224,0.18388590216636658
8,0,128,LPE,0.6675,0.5079774387093243,0.12939175550639626,0.15912054479122162
8,0,128,LP,0.676,0.5022433305918894,0.11938100370872232,
8,0,128,SVM,0.722,0.5037513822038346,0.2549158093079313,
