regime,method,rep,n_obs,auroc
near-OOD (held-out shape 3),kNN,4,64,0.856953125
near-OOD (held-out shape 3),GPP (neg latent var),4,128,0.8958296874999999
near-OOD (held-out shape 3),GPP (Episteme),4,128,0.6741109375
near-OOD (held-out shape 3),Maha,4,128,0.9023898437500001
near-OOD (held-out shape 3),MSP,4,128,0.30721875
near-OOD (held-out shape 3),LPE,4,128,0.6452203125
near-OOD (held-out shape 3),kNN,4,128,0.8663328125
far-OOD (uniform noise),GPP (neg latent var),0,8,0.28262265625000005
far-OOD (uniform noise),GPP (Episteme),0,8,0.23755625
far-OOD (uniform noise),Maha,0,8,0.23794687499999997
far-OOD (uniform noise),MSP,0,8,0.6434359375
far-OOD (uniform noise),LPE,0,8,0.2945796875
far-OOD (uniform noise),kNN,0,8,0.051618750000000005
far-OOD (uniform noise),GPP (neg latent var),0,16,0.3924421875
far-OOD (uniform noise),GPP (Episteme),0,16,0.69566875
far-OOD (uniform noise),Maha,0,16,0.1161984375
far-OOD (uniform noise),MSP,0,16,0.8906937500000001
far-OOD (uniform noise),LPE,0,16,0.23309687499999998
far-OOD (uniform noise),kNN,0,16,0.046975
far-OOD (uniform noise),GPP (neg latent var),0,32,0.6030515625
far-OOD (uniform noise),GPP (Episteme),0,32,0.6458578125
far-OOD (uniform noise),Maha,0,32,0.359228125
far-OOD (uniform noise),MSP,0,32,0.732496875
far-OOD (uniform noise),LPE,0,32,0.15305781250000003
far-OOD (uniform noise),kNN,0,32,0.23973906250000002
far-OOD (uniform noise),GPP (neg latent var),0,64,0.6219515625
far-OOD (uniform noise),GPP (Episteme),0,64,0.5324859375
far-OOD (uniform noise),Maha,0,64,0.133415625
far-OOD (uniform noise),MSP,0,64,0.31551406249999997
far-OOD (uniform noise),LPE,0,64,0.19124843749999998
far-OOD (uniform noise),kNN,0,64,0.5093125000000001
far-OOD (uniform noise),GPP (neg latent var),0,128,0.4330015625
far-OOD (uniform noise),GPP (Episteme),0,128,0.5648015625
far-OOD (uniform noise),Maha,0,128,0.12851406249999997
far-OOD (uniform noise),MSP,0,128,0.32761250000000003
far-OOD (uniform noise),LPE,0,128,0.2312421875
far-OOD (uniform noise),kNN,0,128,0.7320171875
far-OOD (uniform noise),GPP (neg latent var),1,8,0.43304999999999993
far-OOD (uniform noise),GPP (Episteme),1,8,0.8386937500000001
far-OOD (uniform noise),Maha,1,8,0.2953546875
far-OOD (uniform noise),MSP,1,8,0.8566265625
far-OOD (uniform noise),LPE,1,8,0.7804203125
far-OOD (uniform noise),kNN,1,8,0.0246171875
far-OOD (uniform noise),GPP (neg latent var),1,16,0.448559375
far-OOD (uniform noise),GPP (Episteme),1,16,0.26995156249999996
far-OOD (uniform noise),Maha,1,16,0.2916734375
far-OOD (uniform noise),MSP,1,16,0.5088765625
far-OOD (uniform noise),LPE,1,16,0.33835781249999997
far-OOD (uniform noise),kNN,1,16,0.17100625
far-OOD (uniform noise),GPP (neg latent var),1,32,0.46261718749999997
far-OOD (uniform noise),GPP (Episteme),1,32,0.7243140625
far-OOD (uniform noise),Maha,1,32,0.3256375
far-OOD (uniform noise),MSP,1,32,0.8696453125
far-OOD (uniform noise),LPE,1,32,0.48833906250000003
far-OOD (uniform noise),kNN,1,32,0.4853875
far-OOD (uniform noise),GPP (neg latent var),1,64,0.4627578125
far-OOD (uniform noise),GPP (Episteme),1,64,0.6921343749999999
far-OOD (uniform noise),Maha,1,64,0.18710468749999998
far-OOD (uniform noise),MSP,1,64,0.8302484375000001
far-OOD (uniform noise),LPE,1,64,0.2595046875
far-OOD (uniform noise),kNN,1,64,0.4142390625
far-OOD (uniform noise),GPP (neg latent var),1,128,0.42622812499999996
far-OOD (uniform noise),GPP (Episteme),1,128,0.4589859375
far-OOD (uniform noise),Maha,1,128,0.026451562499999998
far-OOD (uniform noise),MSP,1,128,0.52344375
far-OOD (uniform noise),LPE,1,128,0.18717656249999998
far-OOD (uniform noise),kNN,1,128,0.631715625
far-OOD (uniform noise),GPP (neg latent var),2,8,0.46011093750000004
far-OOD (uniform noise),GPP (Episteme),2,8,0.8194359375
far-OOD (uniform noise),Maha,2,8,0.298203125
far-OOD (uniform noise),MSP,2,8,0.7829734375
far-OOD (uniform noise),LPE,2,8,0.289290625
far-OOD (uniform noise),kNN,2,8,0.1744234375
far-OOD (uniform noise),GPP (neg latent var),2,16,0.610903125
far-OOD (uniform noise),GPP (Episteme),2,16,0.49186250000000004
far-OOD (uniform noise),Maha,2,16,0.7675546874999999
