dataset,model,layer,heldout,seed,method,auroc,id_acc
goemotions,gemma,0,2,0,GPP -MI,0.5044509245898134,0.21781305114638447
goemotions,gemma,0,2,0,Maha,0.5565743412965636,0.21781305114638447
goemotions,gemma,0,2,0,MSP,0.46145315589760033,0.21781305114638447
goemotions,gemma,0,2,0,kNN,0.5417267917267917,0.21781305114638447
goemotions,gemma,0,2,0,LPE -var,0.5136483886483887,0.21781305114638447
goemotions,gemma,0,2,1,GPP neg-latent-var,0.5184650740206296,0.2535273368606702
goemotions,gemma,0,2,1,GPP -MI,0.5061995617551174,0.2535273368606702
goemotions,gemma,0,2,1,Maha,0.5736030944364278,0.2535273368606702
goemotions,gemma,0,2,1,MSP,0.4600936614825503,0.2535273368606702
goemotions,gemma,0,2,1,kNN,0.5371172037838705,0.2535273368606702
goemotions,gemma,0,2,1,LPE -var,0.5210838544171877,0.2535273368606702
goemotions,gemma,0,2,2,GPP neg-latent-var,0.5032567740901074,0.2292768959435626
goemotions,gemma,0,2,2,GPP -MI,0.46853455186788523,0.2292768959435626
goemotions,gemma,0,2,2,Maha,0.5483305274971941,0.2292768959435626
goemotions,gemma,0,2,2,MSP,0.41702741702741697,0.2292768959435626
goemotions,gemma,0,2,2,kNN,0.53618860563305,0.2292768959435626
goemotions,gemma,0,2,2,LPE -var,0.5218454385121052,0.2292768959435626
goemotions,gemma,0,1,0,GPP neg-latent-var,0.5924739288855383,0.2326297273526825
goemotions,gemma,0,1,0,GPP -MI,0.6260138766735074,0.2326297273526825
goemotions,gemma,0,1,0,Maha,0.6282998980888163,0.2326297273526825
goemotions,gemma,0,1,0,MSP,0.4591412935740113,0.2326297273526825
goemotions,gemma,0,1,0,kNN,0.5314738032416133,0.2326297273526825
goemotions,gemma,0,1,0,LPE -var,0.502872359732518,0.2326297273526825
goemotions,gemma,0,1,1,GPP neg-latent-var,0.5806005779620556,0.23350923482849603
goemotions,gemma,0,1,1,GPP -MI,0.6117864472086109,0.23350923482849603
goemotions,gemma,0,1,1,Maha,0.6130585919504126,0.23350923482849603
goemotions,gemma,0,1,1,MSP,0.5306920188186679,0.23350923482849603
