dataset,model,layer,heldout,seed,method,auroc,id_acc
goemotions,qwen,0,10,2,LPE -var,0.4644940215806357,0.22703412073490814
goemotions,qwen,0,7,0,GPP neg-latent-var,0.4831695080120821,0.22149695387293297
goemotions,qwen,0,7,0,GPP -MI,0.4826724858785986,0.22149695387293297
goemotions,qwen,0,7,0,Maha,0.49143756719397946,0.22149695387293297
goemotions,qwen,0,7,0,MSP,0.5020051536715644,0.22149695387293297
goemotions,qwen,0,7,0,kNN,0.4869622348504241,0.22149695387293297
goemotions,qwen,0,7,0,LPE -var,0.505093943582655,0.22149695387293297
goemotions,qwen,0,7,1,GPP neg-latent-var,0.4844173962013004,0.23020017406440382
goemotions,qwen,0,7,1,GPP -MI,0.4807995870236694,0.23020017406440382
goemotions,qwen,0,7,1,Maha,0.5056101639959727,0.23020017406440382
goemotions,qwen,0,7,1,MSP,0.46267427771804975,0.23020017406440382
goemotions,qwen,0,7,1,kNN,0.48157391764364577,0.23020017406440382
goemotions,qwen,0,7,1,LPE -var,0.4570342497312241,0.23020017406440382
goemotions,qwen,0,7,2,GPP neg-latent-var,0.47839553575999594,0.21845082680591818
goemotions,qwen,0,7,2,GPP -MI,0.4765589003225311,0.21845082680591818
goemotions,qwen,0,7,2,Maha,0.49004462533490334,0.21845082680591818
goemotions,qwen,0,7,2,MSP,0.5227307633236062,0.21845082680591818
goemotions,qwen,0,7,2,kNN,0.4869366371439786,0.21845082680591818
goemotions,qwen,0,7,2,LPE -var,0.4661854297854912,0.21845082680591818
goemotions,qwen,10,27,0,GPP neg-latent-var,0.49270393811533053,0.15981012658227847
goemotions,qwen,10,27,0,GPP -MI,0.4930084639340968,0.15981012658227847
goemotions,qwen,10,27,0,Maha,0.5484907658562722,0.15981012658227847
goemotions,qwen,10,27,0,MSP,0.4941208726809993,0.15981012658227847
goemotions,qwen,10,27,0,kNN,0.5404653070792311,0.15981012658227847
goemotions,qwen,10,27,0,LPE -var,0.5680986705512021,0.15981012658227847
goemotions,qwen,10,27,1,GPP neg-latent-var,0.4912111337150894,0.15242616033755274
goemotions,qwen,10,27,1,GPP -MI,0.49412558184314515,0.15242616033755274
goemotions,qwen,10,27,1,Maha,0.5401252009242515,0.15242616033755274
goemotions,qwen,10,27,1,MSP,0.5120795241443976,0.15242616033755274
goemotions,qwen,10,27,1,kNN,0.5406997187060478,0.15242616033755274
goemotions,qwen,10,27,1,LPE -var,0.5490778414037908,0.15242616033755274
goemotions,qwen,10,27,2,GPP neg-latent-var,0.4908349239836582,0.1540084388185654
goemotions,qwen,10,27,2,GPP -MI,0.4920676779853995,0.1540084388185654
goemotions,qwen,10,27,2,Maha,0.550183971267832,0.1540084388185654
goemotions,qwen,10,27,2,MSP,0.5191641969727413,0.1540084388185654
goemotions,qwen,10,27,2,kNN,0.5453879512423816,0.1540084388185654
goemotions,qwen,10,27,2,LPE -var,0.5534908495747103,0.1540084388185654
goemotions,qwen,10,3,0,GPP neg-latent-var,0.5238058683652411,0.20205799812909261
goemotions,qwen,10,3,0,GPP -MI,0.5289499710794849,0.20205799812909261
goemotions,qwen,10,3,0,Maha,0.47127942930183736,0.20205799812909261
goemotions,qwen,10,3,0,MSP,0.5217421575418276,0.20205799812909261
goemotions,qwen,10,3,0,kNN,0.469097894158056,0.20205799812909261
goemotions,qwen,10,3,0,LPE -var,0.5067909653739315,0.20205799812909261
goemotions,qwen,10,3,1,GPP neg-latent-var,0.5226544034161912,0.19083255378858746
goemotions,qwen,10,3,1,GPP -MI,0.5236960775212619,0.19083255378858746
goemotions,qwen,10,3,1,Maha,0.46754921843200825,0.19083255378858746
goemotions,qwen,10,3,1,MSP,0.5141139254064939,0.19083255378858746
